"","run","discount","nblock","type","row","names","par","true_par","convergence"
"341",49,0,30,1,1,"b0",0.0627025289794624,0.5,0
"342",49,0,30,1,1,"b1",0.937297471020538,0.5,0
"343",49,0,30,1,1,"tau",0.209158007503979,0.1,0
"344",50,0,30,1,1,"size",0.00100001059971278,0.01,0
"345",50,0,30,1,1,"shape",0.0010000000037778,0.01,0
"346",50,0,30,1,1,"color",0.997999989396509,0.98,0
"347",50,0,30,1,1,"lambda",8.5447445378103,1,0
"348",50,0,30,1,1,"b0",0.364347072265452,0.5,0
"349",50,0,30,1,1,"b1",0.635652927734549,0.5,0
"350",50,0,30,1,1,"tau",0.209332939017416,0.1,0
"351",1,0,30,1,2,"size",0.00100000000035856,0.01,0
"352",1,0,30,1,2,"shape",0.644502526589703,0.01,0
"353",1,0,30,1,2,"color",0.354497473409939,0.98,0
"354",1,0,30,1,2,"lambda",1.01584277028833,1,0
"355",1,0,30,1,2,"b0",0.502231201225265,0.5,0
"356",1,0,30,1,2,"b1",0.497768798774735,0.5,0
"357",1,0,30,1,2,"tau",0.118444519353333,0.3,0
"358",2,0,30,1,2,"size",0.00100000000000127,0.01,0
"359",2,0,30,1,2,"shape",0.65665127859755,0.01,0
"360",2,0,30,1,2,"color",0.342348721402449,0.98,0
"361",2,0,30,1,2,"lambda",9.9994942536145,1,0
"362",2,0,30,1,2,"b0",0.598838152838331,0.5,0
"363",2,0,30,1,2,"b1",0.401161847161331,0.5,0
"364",2,0,30,1,2,"tau",0.64813093325433,0.3,0
"365",3,0,30,1,2,"size",0.439721542276027,0.01,0
"366",3,0,30,1,2,"shape",0.232029899934455,0.01,0
"367",3,0,30,1,2,"color",0.328248557789518,0.98,0
"368",3,0,30,1,2,"lambda",9.99999998433607,1,0
"369",3,0,30,1,2,"b0",0.728714550236601,0.5,0
"370",3,0,30,1,2,"b1",0.271285449763399,0.5,0
"371",3,0,30,1,2,"tau",0.464942991017893,0.3,0
"372",4,0,30,1,2,"size",0.75342991426658,0.01,0
"373",4,0,30,1,2,"shape",0.00100000028387755,0.01,0
"374",4,0,30,1,2,"color",0.245570085449543,0.98,0
"375",4,0,30,1,2,"lambda",9.9999986846956,1,0
"376",4,0,30,1,2,"b0",0.409637024886538,0.5,0
"377",4,0,30,1,2,"b1",0.590362975113462,0.5,0
"378",4,0,30,1,2,"tau",0.612269482835437,0.3,0
"379",5,0,30,1,2,"size",0.001,0.01,0
"380",5,0,30,1,2,"shape",0.831000894530584,0.01,0
"381",5,0,30,1,2,"color",0.167999105469416,0.98,0
"382",5,0,30,1,2,"lambda",6.00398511528376,1,0
"383",5,0,30,1,2,"b0",0.475068993114319,0.5,0
"384",5,0,30,1,2,"b1",0.524931006885671,0.5,0
"385",5,0,30,1,2,"tau",0.347083471058076,0.3,0
"386",6,0,30,1,2,"size",0.299228901738069,0.01,0
"387",6,0,30,1,2,"shape",0.00100002803818408,0.01,0
"388",6,0,30,1,2,"color",0.699771070223747,0.98,0
"389",6,0,30,1,2,"lambda",0.422318636107201,1,0
"390",6,0,30,1,2,"b0",0.48436491094221,0.5,0
"391",6,0,30,1,2,"b1",0.51563508905779,0.5,0
"392",6,0,30,1,2,"tau",0.084290877085664,0.3,0
"393",7,0,30,1,2,"size",0.00100000000321408,0.01,0
"394",7,0,30,1,2,"shape",0.666061099083919,0.01,0
"395",7,0,30,1,2,"color",0.332938900912867,0.98,0
"396",7,0,30,1,2,"lambda",9.99999791026488,1,0
"397",7,0,30,1,2,"b0",0.532220025390479,0.5,0
"398",7,0,30,1,2,"b1",0.467779974609521,0.5,0
"399",7,0,30,1,2,"tau",0.685078334082666,0.3,0
"400",8,0,30,1,2,"size",0.00101009081100979,0.01,0
"401",8,0,30,1,2,"shape",0.00100579082246293,0.01,0
"402",8,0,30,1,2,"color",0.997984118366527,0.98,0
"403",8,0,30,1,2,"lambda",4.50763224957941,1,0
"404",8,0,30,1,2,"b0",0.099035393844323,0.5,0
"405",8,0,30,1,2,"b1",0.900964606155795,0.5,0
"406",8,0,30,1,2,"tau",0.473204987263541,0.3,0
"407",9,0,30,1,2,"size",0.00100207477673854,0.01,0
"408",9,0,30,1,2,"shape",0.00100032792460868,0.01,0
"409",9,0,30,1,2,"color",0.99799759729867,0.98,0
"410",9,0,30,1,2,"lambda",1.62068245230882,1,0
"411",9,0,30,1,2,"b0",0.591264234787838,0.5,0
"412",9,0,30,1,2,"b1",0.40873576521225,0.5,0
"413",9,0,30,1,2,"tau",0.474397295058452,0.3,0
"414",10,0,30,1,2,"size",0.0010000249774161,0.01,0
"415",10,0,30,1,2,"shape",0.00100000000000083,0.01,0
"416",10,0,30,1,2,"color",0.997999975022583,0.98,0
"417",10,0,30,1,2,"lambda",4.65857757170844,1,0
"418",10,0,30,1,2,"b0",0.936956071277411,0.5,0
"419",10,0,30,1,2,"b1",0.0630439287229022,0.5,0
"420",10,0,30,1,2,"tau",0.702017797989094,0.3,0
"421",11,0,30,1,2,"size",0.00100004115473776,0.01,0
"422",11,0,30,1,2,"shape",0.00100000002450323,0.01,0
"423",11,0,30,1,2,"color",0.997999958820759,0.98,0
"424",11,0,30,1,2,"lambda",6.61395264131226,1,0
"425",11,0,30,1,2,"b0",0.0321056623861918,0.5,0
"426",11,0,30,1,2,"b1",0.967894337613808,0.5,0
"427",11,0,30,1,2,"tau",0.644876596349806,0.3,0
"428",12,0,30,1,2,"size",0.00100002727309501,0.01,0
"429",12,0,30,1,2,"shape",0.00100000000001296,0.01,0
"430",12,0,30,1,2,"color",0.997999972726892,0.98,0
"431",12,0,30,1,2,"lambda",3.44271345305379,1,0
"432",12,0,30,1,2,"b0",0.227579205314496,0.5,0
"433",12,0,30,1,2,"b1",0.772420794685504,0.5,0
"434",12,0,30,1,2,"tau",0.681284953846429,0.3,0
"435",13,0,30,1,2,"size",0.698029134909589,0.01,0
"436",13,0,30,1,2,"shape",0.00100026892809038,0.01,0
"437",13,0,30,1,2,"color",0.300970596162321,0.98,0
"438",13,0,30,1,2,"lambda",0.780831766467885,1,0
"439",13,0,30,1,2,"b0",0.4825759898426,0.5,0
"440",13,0,30,1,2,"b1",0.5174240101574,0.5,0
"441",13,0,30,1,2,"tau",0.0790294588923184,0.3,0
"442",14,0,30,1,2,"size",0.712884967912829,0.01,0
"443",14,0,30,1,2,"shape",0.00100000000299544,0.01,0
"444",14,0,30,1,2,"color",0.286115032084204,0.98,0
"445",14,0,30,1,2,"lambda",9.99999909054783,1,0
"446",14,0,30,1,2,"b0",0.48173602750032,0.5,0
"447",14,0,30,1,2,"b1",0.518263972499693,0.5,0
"448",14,0,30,1,2,"tau",0.643741826180672,0.3,0
"449",15,0,30,1,2,"size",0.001,0.01,0
"450",15,0,30,1,2,"shape",0.836831417802068,0.01,0
